"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","RURAL_URBAN","RURAL_URBAN_NAME","RURAL_URBAN_CODE","RURAL_URBAN_TYPE","RURAL_URBAN_TYPECODE","RURAL_URBAN_SORTORDER","CELL","CELL_NAME","CELL_CODE","CELL_TYPE","CELL_TYPECODE","CELL_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2011","2011","2011","date",0,0,"1946157080","South Lakeland","E07000031","local authorities: district / unitary (prior to April 2015)",464,23,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",1524,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157080d0d8d20100",47,696
"2011","2011","2011","date",0,0,"1946157081","Bolton","E08000001","local authorities: district / unitary (prior to April 2015)",464,24,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",134933,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157081d0d1d20100",48,696
"2011","2011","2011","date",0,0,"1946157081","Bolton","E08000001","local authorities: district / unitary (prior to April 2015)",464,24,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",9913,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157081d0d8d20100",49,696
"2011","2011","2011","date",0,0,"1946157082","Bury","E08000002","local authorities: district / unitary (prior to April 2015)",464,25,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",94680,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157082d0d1d20100",50,696
"2011","2011","2011","date",0,0,"1946157082","Bury","E08000002","local authorities: district / unitary (prior to April 2015)",464,25,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",5769,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157082d0d8d20100",51,696
"2011","2011","2011","date",0,0,"1946157083","Manchester","E08000003","local authorities: district / unitary (prior to April 2015)",464,26,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",243224,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157083d0d1d20100",52,696
"2011","2011","2011","date",0,0,"1946157083","Manchester","E08000003","local authorities: district / unitary (prior to April 2015)",464,26,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",21880,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157083d0d8d20100",53,696
"2011","2011","2011","date",0,0,"1946157084","Oldham","E08000004","local authorities: district / unitary (prior to April 2015)",464,27,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",106398,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157084d0d1d20100",54,696
"2011","2011","2011","date",0,0,"1946157084","Oldham","E08000004","local authorities: district / unitary (prior to April 2015)",464,27,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8661,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157084d0d8d20100",55,696
"2011","2011","2011","date",0,0,"1946157085","Rochdale","E08000005","local authorities: district / unitary (prior to April 2015)",464,28,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",101003,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157085d0d1d20100",56,696
"2011","2011","2011","date",0,0,"1946157085","Rochdale","E08000005","local authorities: district / unitary (prior to April 2015)",464,28,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",9047,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157085d0d8d20100",57,696
"2011","2011","2011","date",0,0,"1946157086","Salford","E08000006","local authorities: district / unitary (prior to April 2015)",464,29,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",118130,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157086d0d1d20100",58,696
"2011","2011","2011","date",0,0,"1946157086","Salford","E08000006","local authorities: district / unitary (prior to April 2015)",464,29,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",9041,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157086d0d8d20100",59,696
"2011","2011","2011","date",0,0,"1946157087","Stockport","E08000007","local authorities: district / unitary (prior to April 2015)",464,30,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",146296,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157087d0d1d20100",60,696
"2011","2011","2011","date",0,0,"1946157087","Stockport","E08000007","local authorities: district / unitary (prior to April 2015)",464,30,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8002,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157087d0d8d20100",61,696
"2011","2011","2011","date",0,0,"1946157088","Tameside","E08000008","local authorities: district / unitary (prior to April 2015)",464,31,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",111016,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157088d0d1d20100",62,696
"2011","2011","2011","date",0,0,"1946157088","Tameside","E08000008","local authorities: district / unitary (prior to April 2015)",464,31,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",8052,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157088d0d8d20100",63,696
"2011","2011","2011","date",0,0,"1946157089","Trafford","E08000009","local authorities: district / unitary (prior to April 2015)",464,32,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",118064,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157089d0d1d20100",64,696
"2011","2011","2011","date",0,0,"1946157089","Trafford","E08000009","local authorities: district / unitary (prior to April 2015)",464,32,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",6136,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157089d0d8d20100",65,696
"2011","2011","2011","date",0,0,"1946157090","Wigan","E08000010","local authorities: district / unitary (prior to April 2015)",464,33,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",162781,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157090d0d1d20100",66,696
"2011","2011","2011","date",0,0,"1946157090","Wigan","E08000010","local authorities: district / unitary (prior to April 2015)",464,33,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",11483,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157090d0d8d20100",67,696
"2011","2011","2011","date",0,0,"1946157091","Burnley","E07000117","local authorities: district / unitary (prior to April 2015)",464,34,"0","Total","0","2011 rural-urban classification",2000,0,"1","Economically active: Total","QS601EW0002","Economic Activity",10000,0,"20100","Value",41879,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157091d0d1d20100",68,696
"2011","2011","2011","date",0,0,"1946157091","Burnley","E07000117","local authorities: district / unitary (prior to April 2015)",464,34,"0","Total","0","2011 rural-urban classification",2000,0,"8","Economically active: Unemployed","QS601EW0009","Economic Activity",10000,1,"20100","Value",3342,"A","Normal Value","F","Free (free for publication)","Nm-556d1d32176e0d1946157091d0d8d20100",69,696
